id,day,score,timestamp,contributors.deep_sleep,contributors.efficiency,contributors.latency,contributors.rem_sleep,contributors.restfulness,contributors.timing,contributors.total_sleep
sample-sleep-021,2026-05-24,70,2026-05-24T00:00:00.000+00:00,72,88,93,65,75,78,83
sample-sleep-022,2026-05-25,79,2026-05-25T00:00:00.000+00:00,69,97,64,70,79,99,74
sample-sleep-023,2026-05-26,69,2026-05-26T00:00:00.000+00:00,69,75,67,71,69,67,67
sample-sleep-024,2026-05-27,72,2026-05-27T00:00:00.000+00:00,46,86,64,73,81,87,78
sample-sleep-025,2026-05-28,67,2026-05-28T00:00:00.000+00:00,61,88,72,66,79,84,82
sample-sleep-026,2026-05-29,74,2026-05-29T00:00:00.000+00:00,57,89,84,77,73,70,88
sample-sleep-027,2026-05-30,73,2026-05-30T00:00:00.000+00:00,54,86,85,62,69,82,81
sample-sleep-028,2026-05-31,82,2026-05-31T00:00:00.000+00:00,58,79,83,70,80,95,76
sample-sleep-029,2026-06-01,77,2026-06-01T00:00:00.000+00:00,63,90,66,89,78,76,74
sample-sleep-030,2026-06-02,83,2026-06-02T00:00:00.000+00:00,79,99,57,76,69,60,83
sample-sleep-031,2026-06-03,73,2026-06-03T00:00:00.000+00:00,52,80,81,79,74,80,76
sample-sleep-032,2026-06-04,70,2026-06-04T00:00:00.000+00:00,62,91,75,69,75,69,70
sample-sleep-033,2026-06-05,72,2026-06-05T00:00:00.000+00:00,56,85,85,72,64,76,88
sample-sleep-034,2026-06-06,78,2026-06-06T00:00:00.000+00:00,62,88,87,70,77,79,89
sample-sleep-035,2026-06-07,81,2026-06-07T00:00:00.000+00:00,75,84,81,71,66,60,87
sample-sleep-036,2026-06-08,81,2026-06-08T00:00:00.000+00:00,69,87,88,65,86,61,73
sample-sleep-037,2026-06-09,67,2026-06-09T00:00:00.000+00:00,74,94,82,72,84,86,82
sample-sleep-038,2026-06-10,68,2026-06-10T00:00:00.000+00:00,61,90,85,63,71,74,81
sample-sleep-039,2026-06-11,73,2026-06-11T00:00:00.000+00:00,60,97,73,75,79,49,81
sample-sleep-040,2026-06-12,74,2026-06-12T00:00:00.000+00:00,63,94,78,78,56,89,86
sample-sleep-041,2026-06-13,69,2026-06-13T00:00:00.000+00:00,66,90,82,73,66,83,82
sample-sleep-042,2026-06-14,73,2026-06-14T00:00:00.000+00:00,64,96,88,67,71,71,81
sample-sleep-043,2026-06-15,77,2026-06-15T00:00:00.000+00:00,57,91,76,74,68,64,83
sample-sleep-044,2026-06-16,72,2026-06-16T00:00:00.000+00:00,67,93,85,69,82,90,81
sample-sleep-045,2026-06-17,73,2026-06-17T00:00:00.000+00:00,67,87,77,77,92,84,68
sample-sleep-046,2026-06-18,79,2026-06-18T00:00:00.000+00:00,86,89,79,59,67,99,80
sample-sleep-047,2026-06-19,77,2026-06-19T00:00:00.000+00:00,79,84,88,67,68,85,74
sample-sleep-048,2026-06-20,84,2026-06-20T00:00:00.000+00:00,58,93,60,57,78,85,71
sample-sleep-049,2026-06-21,87,2026-06-21T00:00:00.000+00:00,62,82,67,60,88,78,88
sample-sleep-050,2026-06-22,80,2026-06-22T00:00:00.000+00:00,55,93,65,81,67,90,90
sample-sleep-051,2026-06-23,77,2026-06-23T00:00:00.000+00:00,63,89,57,79,80,88,89
sample-sleep-052,2026-06-24,60,2026-06-24T00:00:00.000+00:00,63,93,73,63,87,95,78
sample-sleep-053,2026-06-25,73,2026-06-25T00:00:00.000+00:00,73,91,87,59,61,74,86
sample-sleep-054,2026-06-26,67,2026-06-26T00:00:00.000+00:00,56,96,77,48,63,75,77
sample-sleep-055,2026-06-27,68,2026-06-27T00:00:00.000+00:00,56,91,82,65,70,74,78
sample-sleep-056,2026-06-28,72,2026-06-28T00:00:00.000+00:00,47,80,91,87,71,89,71
sample-sleep-057,2026-06-29,85,2026-06-29T00:00:00.000+00:00,69,90,93,77,87,98,84
sample-sleep-058,2026-06-30,78,2026-06-30T00:00:00.000+00:00,55,82,79,66,77,74,78
sample-sleep-059,2026-07-01,83,2026-07-01T00:00:00.000+00:00,64,87,94,76,64,75,73
sample-sleep-060,2026-07-02,65,2026-07-02T00:00:00.000+00:00,52,94,81,56,75,84,75
sample-sleep-061,2026-07-03,67,2026-07-03T00:00:00.000+00:00,62,91,72,67,69,77,77
sample-sleep-062,2026-07-04,68,2026-07-04T00:00:00.000+00:00,50,85,74,71,86,91,89
sample-sleep-063,2026-07-05,77,2026-07-05T00:00:00.000+00:00,55,84,65,71,72,53,85
sample-sleep-064,2026-07-06,82,2026-07-06T00:00:00.000+00:00,86,90,71,78,74,70,81
sample-sleep-065,2026-07-07,90,2026-07-07T00:00:00.000+00:00,59,84,76,75,83,71,83
sample-sleep-066,2026-07-08,76,2026-07-08T00:00:00.000+00:00,56,85,88,75,82,52,79
sample-sleep-067,2026-07-09,77,2026-07-09T00:00:00.000+00:00,78,89,97,65,78,68,76
sample-sleep-068,2026-07-10,77,2026-07-10T00:00:00.000+00:00,90,95,66,78,64,69,73
sample-sleep-069,2026-07-11,69,2026-07-11T00:00:00.000+00:00,54,91,84,81,79,78,77
sample-sleep-070,2026-07-12,66,2026-07-12T00:00:00.000+00:00,59,76,70,62,65,93,72
sample-sleep-071,2026-07-13,70,2026-07-13T00:00:00.000+00:00,66,89,85,63,76,77,70
sample-sleep-072,2026-07-14,83,2026-07-14T00:00:00.000+00:00,78,88,79,80,64,68,81
sample-sleep-073,2026-07-15,78,2026-07-15T00:00:00.000+00:00,60,92,62,71,82,79,83
sample-sleep-074,2026-07-16,80,2026-07-16T00:00:00.000+00:00,64,97,89,81,70,93,68
sample-sleep-075,2026-07-17,75,2026-07-17T00:00:00.000+00:00,73,79,74,68,67,68,79
sample-sleep-076,2026-07-18,77,2026-07-18T00:00:00.000+00:00,67,85,75,80,80,69,84
sample-sleep-077,2026-07-19,80,2026-07-19T00:00:00.000+00:00,63,92,69,72,79,87,86
sample-sleep-078,2026-07-20,82,2026-07-20T00:00:00.000+00:00,68,82,73,75,74,77,87
sample-sleep-079,2026-07-21,78,2026-07-21T00:00:00.000+00:00,56,96,84,82,89,88,80
sample-sleep-080,2026-07-22,79,2026-07-22T00:00:00.000+00:00,66,91,78,70,75,80,75
sample-sleep-081,2026-07-23,75,2026-07-23T00:00:00.000+00:00,61,92,83,63,75,88,71
sample-sleep-082,2026-07-24,71,2026-07-24T00:00:00.000+00:00,65,85,84,67,77,68,80
sample-sleep-083,2026-07-25,69,2026-07-25T00:00:00.000+00:00,59,92,93,73,70,80,80
sample-sleep-084,2026-07-26,66,2026-07-26T00:00:00.000+00:00,66,93,77,58,78,77,85
sample-sleep-085,2026-07-27,84,2026-07-27T00:00:00.000+00:00,77,91,65,77,75,65,88
sample-sleep-086,2026-07-28,85,2026-07-28T00:00:00.000+00:00,68,90,91,68,74,61,79
sample-sleep-087,2026-07-29,80,2026-07-29T00:00:00.000+00:00,70,91,77,80,88,88,72
sample-sleep-088,2026-07-30,79,2026-07-30T00:00:00.000+00:00,68,85,91,55,69,76,78
sample-sleep-089,2026-07-31,79,2026-07-31T00:00:00.000+00:00,66,88,84,66,58,68,81
