id,day,score,steps,total_calories,active_calories,average_met_minutes,high_activity_time,medium_activity_time,low_activity_time,sedentary_time,resting_time,equivalent_walking_distance,target_calories,target_meters,meters_to_target,timestamp
sample-activity-057,2026-06-29,79,12382,2602,730,1.5624,300,1981,2110,29304,27130,8800,550,9000,200,2026-06-29T04:00:00.000-05:00
sample-activity-058,2026-06-30,69,9063,2199,612,1.3716,0,1632,3227,27313,27169,6637,550,9000,2363,2026-06-30T04:00:00.000-05:00
sample-activity-059,2026-07-01,78,10279,2406,674,1.7148,438,1924,2091,27297,26756,7514,550,9000,1486,2026-07-01T04:00:00.000-05:00
sample-activity-060,2026-07-02,67,10674,2324,719,1.3989,0,1479,2460,26890,27132,7575,550,9000,1425,2026-07-02T04:00:00.000-05:00
sample-activity-061,2026-07-03,65,8869,2234,533,1.4308,0,2244,2425,27035,27046,6161,550,9000,2839,2026-07-03T04:00:00.000-05:00
sample-activity-062,2026-07-04,76,8557,2228,544,1.3764,146,1270,3595,27899,27265,5924,550,9000,3076,2026-07-04T04:00:00.000-05:00
sample-activity-063,2026-07-05,76,9539,2480,673,1.6165,0,2118,2998,27066,28885,6885,550,9000,2115,2026-07-05T04:00:00.000-05:00
sample-activity-064,2026-07-06,69,9026,2166,607,1.5346,46,2045,2673,29357,26324,6564,550,9000,2436,2026-07-06T04:00:00.000-05:00
sample-activity-065,2026-07-07,69,7564,2234,653,1.4688,193,1379,3099,29469,27742,5288,550,9000,3712,2026-07-07T04:00:00.000-05:00
sample-activity-066,2026-07-08,73,9124,2282,658,1.3573,134,2364,1536,28911,27166,6575,550,9000,2425,2026-07-08T04:00:00.000-05:00
sample-activity-067,2026-07-09,70,8334,2229,609,1.4669,0,1949,2774,29058,28428,6115,550,9000,2885,2026-07-09T04:00:00.000-05:00
sample-activity-068,2026-07-10,75,10592,2412,716,1.3853,100,2016,3999,30617,27320,7750,550,9000,1250,2026-07-10T04:00:00.000-05:00
sample-activity-069,2026-07-11,71,9273,2316,690,1.572,173,1673,2879,27009,29099,6987,550,9000,2013,2026-07-11T04:00:00.000-05:00
sample-activity-070,2026-07-12,70,8839,2235,633,1.5147,0,1585,2841,28618,27816,6619,550,9000,2381,2026-07-12T04:00:00.000-05:00
sample-activity-071,2026-07-13,76,9543,2411,714,1.4876,0,1677,3129,29859,26240,6671,550,9000,2329,2026-07-13T04:00:00.000-05:00
sample-activity-072,2026-07-14,67,9140,2241,638,1.2401,175,1722,3337,30867,26273,6918,550,9000,2082,2026-07-14T04:00:00.000-05:00
sample-activity-073,2026-07-15,72,9998,2429,658,1.3813,104,2100,1602,26387,26595,7092,550,9000,1908,2026-07-15T04:00:00.000-05:00
sample-activity-074,2026-07-16,69,7965,2122,622,1.5,82,1689,1791,28321,26198,5944,550,9000,3056,2026-07-16T04:00:00.000-05:00
sample-activity-075,2026-07-17,77,8599,2220,626,1.582,547,1482,2926,30107,28012,6205,550,9000,2795,2026-07-17T04:00:00.000-05:00
sample-activity-076,2026-07-18,77,10960,2361,661,1.5737,269,2002,2371,28832,27563,7809,550,9000,1191,2026-07-18T04:00:00.000-05:00
sample-activity-077,2026-07-19,73,8951,2287,699,1.3376,207,1971,3587,28723,30376,6083,550,9000,2917,2026-07-19T04:00:00.000-05:00
sample-activity-078,2026-07-20,66,7251,2204,519,1.4541,542,1786,2611,28733,24916,5186,550,9000,3814,2026-07-20T04:00:00.000-05:00
sample-activity-079,2026-07-21,67,9383,2289,584,1.5162,0,1829,1639,28394,27739,6444,550,9000,2556,2026-07-21T04:00:00.000-05:00
sample-activity-080,2026-07-22,74,10000,2336,607,1.3373,0,1629,2039,28772,25833,7393,550,9000,1607,2026-07-22T04:00:00.000-05:00
sample-activity-081,2026-07-23,68,7296,2029,554,1.4394,86,1341,1150,28501,27516,5556,550,9000,3444,2026-07-23T04:00:00.000-05:00
sample-activity-082,2026-07-24,69,9317,2272,626,1.4669,88,1375,2660,28726,28251,6549,550,9000,2451,2026-07-24T04:00:00.000-05:00
sample-activity-083,2026-07-25,72,10129,2250,570,1.4359,0,1189,2687,28638,25234,7353,550,9000,1647,2026-07-25T04:00:00.000-05:00
sample-activity-084,2026-07-26,69,9477,2239,588,1.2968,0,1706,2545,27773,28552,6678,550,9000,2322,2026-07-26T04:00:00.000-05:00
sample-activity-085,2026-07-27,84,11035,2459,654,1.4939,812,1835,3447,28238,29297,7820,550,9000,1180,2026-07-27T04:00:00.000-05:00
sample-activity-086,2026-07-28,72,7775,2242,726,1.4338,115,1548,3519,32891,26975,5753,550,9000,3247,2026-07-28T04:00:00.000-05:00
sample-activity-087,2026-07-29,72,9684,2518,777,1.4482,0,793,2698,25855,27694,6965,550,9000,2035,2026-07-29T04:00:00.000-05:00
sample-activity-088,2026-07-30,79,9582,2271,619,1.4499,408,1411,1519,28376,28582,7247,550,9000,1753,2026-07-30T04:00:00.000-05:00
sample-activity-089,2026-07-31,68,8449,2311,633,1.4046,0,1956,3170,27740,27328,5987,550,9000,3013,2026-07-31T04:00:00.000-05:00
